City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Amapa,BR,1.0,-52.0,69.31,99,66,2.06,broken clouds
1,Carnarvon,AU,-24.8667,113.6333,74.64,21,0,5.95,clear sky
2,Hithadhoo,MV,-0.6,73.0833,82.26,77,93,9.75,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
4,Albany,US,42.6001,-73.9662,63.3,87,14,3.85,few clouds
5,Ribeira Grande,PT,38.5167,-28.7,66.69,77,98,13.85,overcast clouds
6,Kavaratti,IN,10.5669,72.642,81.59,83,100,18.37,moderate rain
7,Zdunska Wola,PL,51.5992,18.9397,62.22,74,79,1.01,broken clouds
8,Ust-Ishim,RU,57.6935,71.1665,75.04,49,23,8.25,few clouds
9,Port Elizabeth,ZA,-33.918,25.5701,58.32,78,0,5.01,clear sky
10,Pangnirtung,CA,66.1451,-65.7125,43.23,82,93,1.36,overcast clouds
11,Tilaran,CR,10.4703,-84.9671,72.07,22,99,7.61,overcast clouds
12,Torbay,CA,47.6666,-52.7314,59.29,95,100,19.57,mist
13,Bacolod,PH,10.6667,122.95,84.92,75,86,8.41,light rain
14,La Ronge,CA,55.1001,-105.2842,55.65,62,0,1.14,clear sky
15,Nanchong,CN,30.7951,106.0847,96.24,47,0,5.23,clear sky
16,Thompson,CA,55.7435,-97.8558,55.56,71,20,4.61,few clouds
17,Saint-Philippe,RE,-21.3585,55.7679,74.21,68,56,8.34,broken clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,82,5.01,broken clouds
19,Dikson,RU,73.5069,80.5464,33.28,86,13,1.41,few clouds
20,Stonewall,CA,50.1344,-97.3268,65.88,97,2,9.19,clear sky
21,Hasaki,JP,35.7333,140.8333,81.28,83,17,16.42,few clouds
22,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
23,Saint-Pierre,RE,-21.3393,55.4781,74.28,55,40,14.97,scattered clouds
24,Port Augusta,AU,-32.5,137.7667,58.71,50,12,15.26,few clouds
25,Atuona,PF,-9.8,-139.0333,77.68,80,31,26.37,scattered clouds
26,Toora-Khem,RU,52.4675,96.11,66.42,49,85,7.31,overcast clouds
27,Tautira,PF,-17.7333,-149.15,78.53,71,8,12.64,clear sky
28,Nome,US,64.5011,-165.4064,62.67,68,100,5.75,overcast clouds
29,Taoudenni,ML,22.6783,-3.9836,93.9,22,60,4.92,broken clouds
30,Albany,US,42.6001,-73.9662,63.3,87,14,3.85,few clouds
31,Bereslavka,RU,48.6254,44.0449,77.77,25,0,8.5,clear sky
32,Tasiilaq,GL,65.6145,-37.6368,38.64,90,100,3.13,overcast clouds
33,Merritt,CA,50.1123,-120.7942,58.19,83,100,2.98,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,64.92,52,75,5.75,broken clouds
35,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
36,Anadyr,RU,64.75,177.4833,59.5,63,20,8.95,few clouds
37,Faya,SA,18.3851,42.4509,73.92,19,87,12.44,overcast clouds
38,Peace River,CA,56.2501,-117.286,61.11,77,40,9.22,scattered clouds
39,Margate,GB,51.3813,1.3862,62.69,80,88,8.01,overcast clouds
40,Saint-Joseph,RE,-21.3667,55.6167,73.2,65,35,9.62,scattered clouds
41,Thompson,CA,55.7435,-97.8558,55.56,71,20,4.61,few clouds
42,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
43,Butaritari,KI,3.0707,172.7902,82.49,75,83,16.42,broken clouds
44,Mahebourg,MU,-20.4081,57.7,73.69,60,75,12.66,broken clouds
45,Kodiak,US,57.79,-152.4072,51.42,96,100,10.83,light rain
46,Port Elizabeth,ZA,-33.918,25.5701,58.32,78,0,5.01,clear sky
47,Kapaa,US,22.0752,-159.319,80.58,87,100,4.0,overcast clouds
48,Kodiak,US,57.79,-152.4072,51.42,96,100,10.83,light rain
49,Avarua,CK,-21.2078,-159.775,69.85,68,70,3.44,broken clouds
50,Avarua,CK,-21.2078,-159.775,69.85,68,70,3.44,broken clouds
51,Airai,TL,-8.9266,125.4092,64.54,71,94,1.9,overcast clouds
52,Kahului,US,20.8947,-156.47,77.85,88,86,13.0,overcast clouds
53,Kaitangata,NZ,-46.2817,169.8464,43.9,78,100,5.97,overcast clouds
54,Sola,VU,-13.8833,167.55,80.92,78,93,16.06,overcast clouds
55,Hobart,AU,-42.8794,147.3294,55.26,64,23,1.99,few clouds
56,Weyburn,CA,49.6668,-103.8511,62.82,82,13,5.75,few clouds
57,Faanui,PF,-16.4833,-151.75,79.27,67,7,9.82,clear sky
58,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
59,Bredasdorp,ZA,-34.5322,20.0403,48.11,65,57,7.47,broken clouds
60,Port Shepstone,ZA,-30.7414,30.455,60.87,77,0,5.64,clear sky
61,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.41,63,97,6.78,overcast clouds
62,Bilma,NE,18.6853,12.9164,86.83,15,0,16.51,clear sky
63,Bhatgaon,IN,21.15,81.7,84.38,89,40,4.61,scattered clouds
64,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
65,Iqaluit,CA,63.7506,-68.5145,37.13,100,100,3.44,mist
