City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lavrentiya,RU,2022-07-05 17:09:59,65.5833,-171.0,45.1,95,99,5.1
1,Valparaiso,CL,2022-07-05 17:09:59,-33.0393,-71.6273,61.03,70,0,6.91
2,Livingston,GB,2022-07-05 17:10:00,55.9029,-3.5226,69.13,52,20,11.5
3,Yellowknife,CA,2022-07-05 17:05:55,62.456,-114.3525,68.56,45,25,4.0
4,Hermanus,ZA,2022-07-05 17:10:00,-34.4187,19.2345,51.8,72,9,0.94
5,Lagoa,PT,2022-07-05 17:10:01,39.05,-27.9833,65.98,79,100,10.94
6,Sucha Beskidzka,PL,2022-07-05 17:10:01,49.7419,19.5943,67.77,83,100,4.03
7,Pevek,RU,2022-07-05 17:10:02,69.7008,170.3133,45.27,73,100,19.3
8,Tshane,BW,2022-07-05 17:10:02,-24.0196,21.8684,66.92,30,1,5.03
9,Vaini,TO,2022-07-05 17:10:03,-21.2,-175.2,69.96,78,20,6.91
10,Coihaique,CL,2022-07-05 17:10:03,-45.5752,-72.0662,37.35,93,100,8.05
11,Havre-Saint-Pierre,CA,2022-07-05 17:10:04,50.2334,-63.5986,58.19,64,30,26.66
12,Atuona,PF,2022-07-05 17:10:04,-9.8,-139.0333,77.31,80,8,25.77
13,Moussoro,TD,2022-07-05 17:10:04,13.6408,16.4901,98.28,27,38,6.49
14,Vao,NC,2022-07-05 17:10:05,-22.6667,167.4833,73.63,73,96,16.37
15,Olafsvik,IS,2022-07-05 17:10:05,64.8945,-23.7142,52.16,74,100,7.58
16,Qaanaaq,GL,2022-07-05 17:10:06,77.484,-69.3632,46.17,50,11,2.55
17,Ushuaia,AR,2022-07-05 17:10:06,-54.8,-68.3,35.26,75,20,2.3
18,Keokuk,US,2022-07-05 17:10:07,40.3973,-91.3849,96.28,55,0,12.66
19,Chernyshevskiy,RU,2022-07-05 17:10:07,63.0128,112.4714,54.34,91,99,2.55
20,Parker,US,2022-07-05 17:10:08,32.7668,-97.8003,95.72,47,0,1.99
21,Villazon,BO,2022-07-05 17:10:09,-22.0866,-65.5942,59.14,11,100,6.53
22,Port Alfred,ZA,2022-07-05 17:10:09,-33.5906,26.891,57.18,93,95,1.99
23,Nikolskoye,RU,2022-07-05 17:10:09,59.7035,30.7861,72.88,61,52,10.98
24,Montepuez,MZ,2022-07-05 17:08:11,-13.1256,38.9997,66.99,63,82,5.26
25,Cherskiy,RU,2022-07-05 17:10:10,68.75,161.3,56.73,92,100,8.99
26,Ostrovnoy,RU,2022-07-05 17:10:11,68.0531,39.5131,65.57,72,64,15.52
27,Busselton,AU,2022-07-05 17:10:11,-33.65,115.3333,52.79,66,81,9.17
28,Kapaa,US,2022-07-05 17:10:12,22.0752,-159.319,77.32,80,0,13.8
29,Rikitea,PF,2022-07-05 17:10:12,-23.1203,-134.9692,76.21,74,40,14.81
30,Albany,US,2022-07-05 17:09:13,42.6001,-73.9662,78.39,74,100,5.06
31,Sarh,TD,2022-07-05 17:10:13,9.1429,18.3923,80.85,63,68,4.25
32,Butaritari,KI,2022-07-05 17:10:14,3.0707,172.7902,82.65,76,85,22.35
33,Khandbari,NP,2022-07-05 17:10:14,27.3747,87.2039,76.03,93,99,0.58
34,Malakal,SS,2022-07-05 17:10:15,9.5334,31.6605,78.39,69,61,4.25
